'MF21Restart.finiteKernelIntegrand_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'MF21Restart.inverseKernelTopExtension_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'MF21Restart.inverseKernelTopExtension_eq_top' depends on axioms: [propext, Classical.choice, Quot.sound]
'MF21Restart.continuous_inverseKernelTopExtension' depends on axioms: [propext, Classical.choice, Quot.sound]
'MF21Restart.inverseKernel_eq_top' depends on axioms: [propext, Classical.choice, Quot.sound]
'MF21Restart.continuous_inverseKernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'MF21Restart.inverseKernel_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'MF21Restart.inverseKernel_reflection' depends on axioms: [propext, Classical.choice, Quot.sound]
'MF21Restart.inverseKernel_uniformContinuousOn' depends on axioms: [propext, Classical.choice, Quot.sound]
