info: MF21/UniformQuantization.lean:276:0: 'MF21Quantization.exists_uniform_smooth_inverse' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/UniformQuantization.lean:278:0: 'MF21Quantization.exists_uniform_smooth_lipschitz_inverse' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/CompressionInterlacing.lean:290:0: 'MF21Audit.diagonal_compression_antitone_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/CompressionInterlacing.lean:291:0: 'MF21Audit.diagonal_compression_antitone_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/CompressionInterlacing.lean:292:0: 'MF21Challenge.exists_ordered_diagonalization' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/CompressionInterlacing.lean:293:0: 'MF21Challenge.compression_interlacing' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/CompressionInterlacing.lean:294:0: 'MF21Challenge.principal_submatrix_interlacing' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkSymbol.lean:84:0: 'MF21Challenge.symbol_contDiff' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkSymbol.lean:85:0: 'MF21Challenge.symbol_difference_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkSymbol.lean:86:0: 'MF21Challenge.symbol_eq_pow_mul_sinc' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkSymbol.lean:87:0: 'MF21Challenge.symbol_factor_tendsto_one' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/RecurrenceBasis.lean:65:0: 'MF21Recurrence.solution_eq_geometric_combination' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/RecurrenceBasis.lean:66:0: 'MF21Recurrence.geometric_coefficients_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkRootFamily.lean:214:0: 'MF21Bulk.characteristicRoots_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkRootFamily.lean:215:0: 'MF21Bulk.characteristicRoots_spec' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkRootFamily.lean:216:0: 'MF21Bulk.omega_stableRoot_endpoint_extension' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundaryNormalization.lean:134:0: 'MF21Normalization.rowShift_det' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundaryNormalization.lean:135:0: 'MF21Normalization.blockPower_det_shift' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundaryNormalization.lean:136:0: 'MF21Normalization.blockPower_det_rescale' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundaryNormalization.lean:138:0: 'MF21Normalization.blockPower_det_expansion' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/CirculantSpectrum.lean:219:0: 'MF21Circulant.fourierMatrix_isUnit' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/CirculantSpectrum.lean:220:0: 'MF21Circulant.circulant_charpoly' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/CirculantSpectrum.lean:221:0: 'MF21Circulant.periodicCoefficient_dft' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/CirculantSpectrum.lean:222:0: 'MF21Circulant.realCirculant_isHermitian' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/CirculantSpectrum.lean:223:0: 'MF21Circulant.periodicCoefficient_principal' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/CirculantSpectrum.lean:224:0: 'MF21Circulant.realCirculant_principal' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/CirculantSpectrum.lean:225:0: 'MF21Circulant.realCirculant_charpoly' depends on axioms: [propext, Classical.choice, Quot.sound]
