'MF21Restart.scaledRising_succ' depends on axioms: [propext, Classical.choice, Quot.sound]
'MF21Restart.scaledRising_zero_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'MF21Restart.scaledRising_scale' depends on axioms: [propext, Classical.choice, Quot.sound]
'MF21Restart.continuous_scaledRising' depends on axioms: [propext, Classical.choice, Quot.sound]
'MF21Restart.scaledRising_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'MF21Restart.finiteKernelIntegrand_zero_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'MF21Restart.finiteKernelIntegrand_continuousOn_box' depends on axioms: [propext, Classical.choice, Quot.sound]
'MF21Restart.finiteKernelIntegrand_uniformContinuousOn_box' depends on axioms: [propext, Classical.choice, Quot.sound]
'MF21Restart.finiteKernelIntegrand_uniform_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
